Name,ISIN,TF_Indication,Symbol,Symbol_PortfVis
Seneca Foods Corp,US8170705011,DI,SENEA,
Service Corp. International,US8175651046,DI,SCI,
ServiceNow,US81762P1021,DI,NOW,
Seven\s(&|+)\sI,JP3422950000,EI,,SVNDY
SFC Energy AG,DE0007568578,EI,,
SGL Carbon SE,DE0007235301,EI,,
Sharp Corp,JP3359600008,EI,,SHCAY
Shell PLC,GB00BP6MXD84,DI,SHEL,
Sherwin-Williams Co.,US8243481061,DI,SHLX,
Shimano Inc.,JP3358000002,EI,,SMNNY
Shin-Etsu Chemical Co. Ltd.,JP3371200001,EI,,SHECY
SHIONOGI + CO. LTD,JP3347200002,EI,,SGIOY
Shiseido Chem,,,,
Shockwave Medical,,,,
Shop Apotheke Europe,,,,
Shopify,,,,
Siemens AG,,,,
Siemens energy,,,,
siemens gamesa,,,,
Siemens Health,,,,
Signet Jewelers Limited,BMG812761002,DI,SIG,
Signify,,,,
Sika AG,,,,
Sika Finanz AG,,,,
Siltronic,,,,
Simon Property,,,,
Sinch AB,,,,
Sino AG,,,,
Sino Biopharma,,,,
Sirius XM,,,,
SIXT SE,,,,
Sketchers,,,,
Skyworks Solutions,US83088M1027,DI,SWKS,
Slack Technologies,,,,
smcp,,,,
Smith & Wesson Brands,,,,
snam,,,,
Snap-on,,,,
Snowflake,,,,
SNP Schneid.-Neureit.,,,,
Sociedad Quimica y Minera de Chile S.A. (ADRs),US8336351056,DI,SQM,
Sodexo S.A.,FR0000121220,DI,,SDXAY
Softbank Group Corp,JP3436100006,EI,,
Software AG,DE000A2GS401,EI,,STWRY
Soitec S.A.,FR0013227113,EI,,SLOIF
"SolarEdge Technologies, Inc.",US83417M1045,DI,SEDG,
SolarWinds Corp.,US83417Q2049,DI,SWI,
Soltec Power Holdings S.A.,ES0105513008,EI,,
Sompo Hldgs,JP3165000005,EI,,
Sonoco Products Company,US8354951027,DI,SON,
Sonos,US83570H1086,DI,SONO,
Sonova Holding AG,CH0012549785,CHI,,SONVY
Sony Group Corp.,JP3435000009,EI,SONY,
Southern Company (The),US8425871071,DI,SO,
Southern Copper Corp.,US84265V1052,DI,SCCO,
Southwest Airlines Co.,US8447411088,DI,LUV,
SpartanNash Co.,US8472151005,DI,SPTN,
Spectris PLC,GB0003308607,GPI,,SEPJY
Spie S.A.,FR0012757854,EI,,
splunk,US8486371045,DI,SPLK,
Sportsman’s Warehouse,US84920Y1064,DI,SPWH,
Spotify Technology S.A.,LU1778762911,EI,SPOT,
Square Enix Holdings Co. Ltd.,JP3164630000,DI,,
Squarespace Inc ,US85225A1079,DI,SQSP,
SSE PLC,GB0007908733,GPI,,SSEZY
St. Jame’s Place,GB00B46FK959,GPI,,
Stabilus SE,DE000STAB1L8,EI,,SIUAF
STAG Industrial Inc.,US85254J1025,DI,STAG,
Standard Chartered PLC,GB0004082847,GPI,,SCBFY
Stanley Black&Decker,US8545021011,DI,SWK,
Starbucks Corp,US8552441094,DI,SBUX,
Startek,US85569C1071,DI,SRT,
state street,US8574771031,DI,STT,
Steel Dynamics,US8581191009,DI,STLD,
Steico,DE000A0LR936,EI,,
Steinhoff Int,NL0011375019,EI,,
Stellantis N.V.,NL00150001Q9,EI,,STLA
Sto SE & Co. KgaA,DE0007274136,EI,,
Storebrand ASA,NO0003053605,NKI,,
Strabag SE,AT000000STR1,EI,,
Stratec SE,DE000STRA555,EI,,
Straumann Hldg,CH1175448666,CHI,,
Stroeer SE,DE0007493991,EI,,
Stronghold Digital Mining,US86337R1032,DI,SDIG,
Stryker Corp,US8636671013,DI,SYK,
Suess MicroTec SE,DE000A1K0235,EI,,SESMF
Sumitomo Chemical Co. Ltd.,JP3401400001,EI,SMM,SOMMY
Sumitomo Elec,JP3407400005,EI,,SMTOY
Sunrun,US86771W1053,DI,RUN,
Super Micro Computer Inc.,US86800U1043,DI,SMCI,
Surgical Science Sweden AB,SE0014428512,SKI,,
Surteco Group SE,DE0005176903,EI,,
Swatch Group AG (The),CH0012255151,CHI,,SWGAY
Swedbank AB,SE0000242455,SKI,,SWDBY
Swedish Match AB,SE0015812219,SKI,,SWMAY
Swiss Life Holding AG,CH0014852781,CHI,,SZLMY
Swiss Re AG,CH0126881561,CHI,,SSREY
Swisscom AG,CH0008742519,CHI,,SCMWY
swissquote grp,CH0010675863,CHI,,
Symbiotic,US87151X1019,DI,SYM,
Symrise AG,DE000SYM9999,EI,,SYIEY
Synopsys,US8716071076,DI,,SNPS
T Rowe Price,US74144T1088,DI,TROW,
T-Mobile US,US8725901040,DI,TMUS,
TAG Immobilien AG,DE0008303504,EI,,
Taitron Components,US8740281030,DI,TAIT,
Taiwan Semiconductor Manufacturing Co. Ltd. (ADRs) (TSMC),US8740391003,DI,TSM,
Take-Two Interactive,US8740602052,DI,TTWO,
Takeda Pharma Co. Ltd. (ADRs),US8740541094,DI,TAK,
Takkt AG,US8740801043,DI,,
TAL Education Group (ADRs),DE0007446007,EI,TAL,
Talanx AG,DE000TLX1005,EI,,
Tamburi,US87612G1013,DI,,
Tanger Factory Outlet Centers,IL0010827264,DI,SKT,
Targa Resources,US87612G1013,DI,TRGP,
Target Corp.,US87612E1064,DI,TGT,
TAT Technologies,US8754651060,DI,TATT,
TATA Motors,DE000A2YN900,EI,TTM,
TATA Steel,US87918A1051,DI,,
TC Energy Corp.,CA87807B1076,DI,TRP,
TDK Corp,JP3538800008,DI,,TTDKY
TE Connectivity Ltd.,CH0102993182,CHI,TEL,
TeamViewer SE,DE000A2YN900,DI,,TMVWY
TEGNA Inc.,US87901J1051,DI,TGNA,
Teladoc Inc.,US87918A1051,DI,TDOC,
Teledyne Technologies Inc.,US8793601050,DI,TDY,
Telefonica S.A.,ES0178430E18,EI,TEF,
Telekom Austria,AT0000720008,EI,,
Telenor ASA,NO0010063308,NKI,,TELNY
Teleperformance SE,FR0000051807,EI,,TLPFY
Telephone & Data Systems,US8794338298,DI,TDS,
Telia Company AB,SE0000667925,SKI,,TLSNY
Telstra Corp. Ltd.,AU000000TLS2,DI,,TLSYY
Tempur Sealy Intl,US88023U1016,DI,TPX,
Tenaris (ADRs),US88031M1099,DI,TS,
Tencent Hldgs,KYG875721634,DI,,TCEHY
Tencent Music Entertainment Group (ADRs),US88034P1093,DI,TME,
Teqnion,SE0012308088,,,
Terex Corp,US8807791038,DI,TEX,
Tesla,US88160R1014,DI,TSLA,
Texas Instruments Inc.,US8825081040,DI,TXN,
Thai Oil Public Corp,TH0796010R11,DI,,TOIPY
Thai Tap Water Supply PCL (NVDRs),TH0961010R11,DI,,
Thai Union Group,TH0450010R15,DI,,
Thales S.A.,FR0000121329,EI,,THLLY
The Bank of Nova Scotia,CA0641491075,DI,BNS,
The Coca-Cola Co.,US1912161007,DI,KO,
The Goldman Sachs Group Inc.,US38141G1040,DI,GS,
The Hongkong & China Gas Co. Ltd.,HK0003000038,EI,,
The RealReal Inc.,US88339P1012,DI,REAL,
Thermador Groupe S.A.,FR0013333432,EI,,
Thermo Fisher,US8835561023,DI,TMO,
Thomson Reuters Corp.,CA8849037095,DI,TRI,
Thor industries Inc.,US8851601018,EI,THO,
ThyssenKrupp,DE0007500001,EI,,TKAMY
Tilray,US88688T1007,DI,TLRY,
Timken Co.,US8873891043,DI,TKR,
Timkensteel Corp.,US8873991033,DI,TMST,
Tinexta SpA,IT0005037210,DI,,
TIS Inc,JP3104890003,,,
TKH Group N.V.,NL0000852523,EI,,
Tokio Marine,JP3910660004,EI,,TKOMY
Tomra Systems,NO0012470089,NKI,,TMRAY
Tonies SE,LU2333563281,EI,,
Tootsie Roll Industries,US8905161076,DI,TR,
Toray,JP3621000003,DI,,TRYIY
Torm PLC,GB00BZ3CNK81,GPI,TRMD,
TotalEnergies SE,FR0000120271,EI,TTE,
TOYO SEIKAN GRP HLDGS LTD,JP3613400005,DI,,
Toyo Suisan Kaisha,JP3613000003,DI,,
Toyota Industries,JP3634600005,DI,,TYIDY
Toyota Motor Corporation (ADRs),US8923313071,DI,TM,
Toyota Tsusho,JP3635000007,DI,,
Tractor Supply,US8923561067,DI,TSCO,
Trade Desk (The),US88339J1051,DI,TTD,
Tradeweb Markets Inc.,US8926721064,DI,TW,
Transdigm,US8936411003,DI,TDG,
Transocean,CH0048265513,CHI,RIG,
Traton SE,DE000TRAT0N7,EI,,
Travelers Companies Inc. (The),US89417E1091,DI,TRV,
Trigano,FR0005691656,EI,,
Trimble,US8962391004,DI,TRMB,
Trip.com Group Ltd. (ADRs),US89677Q1076,DI,TCOM,
Tripadvisor Inc.,US8969452015,DI,TRIP,
Triton Intl. Ltd.,BMG9078F1077,DI,TRTN,
Triumph Group Inc.,US8968181011,DI,TGI,
TUI AG,DE000TUAG505,DI,,TUIFY
Turtle Beach,US9004502061,DI,HEAR,
Twilio,US90138F1021,DI,TWLO,
Twin Disc Inc,US9014761012,DI,TWIN,
Tyler Techs,US9022521051,DI,TYL,
Tyson Foods,US9024941034,DI,TSN,
Uber,US90353T1007,DI,UBER,
Ubisoft Entertainment S.A.,FR0000054470,EI,,UBSFY
UBS Group AG,CH0244767585,CHI,UBSI,
UCB S.A.,BE0003739530,EI,,UCBJY
Udemy Inc. ,US9026851066,DI,UDMY,
UDR Inc.,US9026531049,DI,UDR,
UiPath,US90364P1057,DI,PATH,
Ulta Beauy,US90384S3031,DI,ULTA,
Ultralife Corp,US9038991025,DI,ULBI,
Umicore S.A.,BE0974320526,EI,,UMICY
Under Armour,US9043112062,DI,UA,
Unibail-Rodamco-Westfield SE,FR0013326246,EI,,UNBLF
"Unicaja Banco, S.A.[",ES0180907000,EI,,
UniCredit S.p.A.,IT0005239360,EI,,UNCRY
Unilever Plc,GB00B10RZP78,GPI,UL,
Unimicron Tech,TW0003037008,,,
UNION PACIFIC CORP.,US9078181081,DI,UNP,
United Airlines,US9100471096,DI,UAL,
United Bankshares,US9099071071,DI,UBSI,
United Internet AG,DE0005089031,EI,,
United Maritime Corporation,MHY923351016,,,
United Parcel Service,US9113121068,DI,UPS,
United Rentals,US9113631090,DI,URI,
United States Cellular Corp.,US9116841084,DI,USM,
UnitedHealth,US91324P1021,DI,UNH,
unity software,US91332U1016,DI,U,
Universal Corp.,US9134561094,DI,UVV,
Universal Stainless&Alloy,US9138371003,DI,USAP,
Upstart Holdings Inc.,US9168961038,DI,UPST,
Uranium Energy Corp.,CA91702V1013,DI,UEC,
Uranium Royalty Corp,US91680M1071,DI,UROY,
V.F. Corp.,US91879Q1094,DI,VFC,
VAIL RESORTS INC.,FR0013176526,EI,MTN,
Vale S.A.,BRVALEACNOR0,EI,VALE,
Valeo SE,US9182041080,DI,VLEEY,
Valmet Oyj,FI4000074984,EI,VOYJF,
Varonis Systems Inc,US9222801022,DI,VRNS,
Varta AG,DE000A0TGJ55,EI,,
VEEVA SYSTEMS INC.,US9224751084,DI,VEEV,
Veolia Environnement S.A.,FR0000124141,EI,,VEOEY
Veralto (GE Vernova),US92338C1036,DI,VLTO,
Verbio SE,DE000A0JL9W6,EI,,
VeriSign,US92343E1029,DI,VRSN,
Verisk Analytics Inc.,US92345Y1064,DI,VRSK,
Verizon Communications Inc.,US92343V1044,DI,VZ,
Vertex Energy Inc.,US92534K1079,DI,VTNR,
Vertex Pharma,US92532F1003,DKI,VRTX,
Vestas Wind Systems AS,DK0061539921,DI,,VWDRY
Viant Technology,US92557A1016,DI,DSP,
Vinci S.A.,FR0000125486,EI,,
Virco Manufacturing Corp,US9276511097,DI,VIRC,
Virgin Galactic Holdings Inc.,US92766K1060,DI,SPCE,
Virgin Money UK PLC,GB00BD6GN030,GPI,,
Virginia National Bankshares Corp,US9280311039,DI,VABK,
Visa,US92826C8394,DI,V,
Viscofan S.A.,ES0184262212,EI,,
Vistra Energy Corp.,US92840M1027,DI,VST,
Vodafone Group PLC,GB00BH4HKS39,GPI,VOD,
VolitionRx Ltd,DE0007664039,EI,VNRX,
Volkswagen AG Vz.,DE000A1ML7J1,EI,,VWAGY
Voltalia S.A.,US9286611077,DI,,
Volvo AB,SE0000115446,SKI,,VLVLY
Vonovia SE,US92936U1097,DI,,VONOY
VOW ASA,FR0011995588,EI,,
W.P. Carey Inc.,US3848021040,DI,WPC,
W.R. Berkley Corporation,US0844231029,DI,WRB,
W.W. Grainger Inc.,NO0010708068,NKI,GWW,
Wabtec,US9297401088,DI,,
Wacker Chemie AG,US9314271084,DI,,
Wacker Neuson SE,NL0015000M91,DI,,
Walgreens Boots Alliance,DE000WCH8881,EI,WBA,
Wallbox N.V.,DE000WACK012,EI,WBX,
Walmart,US9311421039,DI,WMT,
Walt Disney Co. (The),US2546871060,DI,DIS,
Warner Bros. Discovery Inc.,US9344231041,DI,WBD,
Warner Music Group Corp.,US9345502036,DI,WMG,
Waste Connection,CA94106B1013,DI,WCN,
Waste Management Inc.,US94106L1098,DI,WM,
WD-40 Comany,US9292361071,DI,WDFC,
wec enery grp,US92939U1060,DI,WEC,
Weichai Power Co. Ltd.,US9497461015,DI,,WEICY
WELL Health Technologies Corp.,US95040Q1040,DI,WELL,
Wells Fargo,CNE1000004L9,DI,WFC,
Welltower OP Inc.,CA94947L1022,DI,WELL,
Wendel S.A.,FR0000121204,EI,,
Wendy’s,,,,
Wereldhave N.V.,NL0000289213,DI,,
WESFARMERS LTD,AU000000WES1,DI,,WFAFY
Westamerica Bancorp,US9570901036,DI,WABC,
Western Digital Corp,US9581021055,DI,WDC,
Western Union,US9598021098,DI,WU,
Weyerhaeuser Company,US9621661043,DI,WY,
WideOpenWest Inc.,US96758W1018,DI,WOW,
WidePoint Corp,US9675902095,DI,WYY,
Williams Companies Inc. (The),US9694571004,DI,WMB,
Williams-Sonoma Inc.,US9699041011,DI,WSM,
Willis Towers Watson,IE00BDB6Q211,EI,WTW,
Wingstop,US9741551033,DI,WING,
WisdomTree Investments Inc,US97717P1049,DI,WT,
Wise Plc,GB00BL9YR756,GPI,,WPLCF
WiseTech Global Ltd.,AU000000WTC3,DI,,
wix com,IL0011301780,DI,WIX,
Wolters Kluwer N.V.,NL0000395903,EI,,WTKWY
Workday,US98138H1014,DI,WDAY,
World Fuel Services Corp (World Kinect Corp.),US9814751064,DI,WKC,
World Wrestling Entertainment Inc.,US98156Q1085,DI,TKO,
WUXI Biologics [Cayman] Inc. (ADRs),US98260N1081,DI,,WXXWY
Wynn Resorts,US9831341071,DI,WYNN,
Xcel Energy,US98389B1008,DI,XEL,
Xiaomi Corp. (ADRs),US98421U1088,DI,,XIACF
XP Inc,KYG982391099,DI,XP,
XPeng Inc. (ADRs),US98422D1054,DI,,
Xylem Inc.,US98419M1009,DI,XYL,
yellow cake,JE00BF50RG45,GPI,,
Yirendai Ltd. (ADRs),US98585L1008,DI,YRD,
Yum China Holdings Inc.,US98850P1093,DI,YUMC,
yum! brands,US9884981013,DI,YUM,
Zalando SE,DE000ZAL1111,EI,,
Zeal Network SE,DE000ZEAL241,DI,,
Zebra Tech Corp,US9892071054,DI,ZBRA,
Ziff Davis,US48123VAD47,DI,ZD,
Zimmer Biomet,US98956P1021,DI,ZBH,
ZipRecruiter Inc.,US98980B1035,DI,ZIP,
Zoetis Inc,US98978V1035,DI,ZTS,
Zoom Video Com,US98980L1017,DI,ZM,
ZoomInfo Technologies Inc.,US98980F1049,DI,ZI,
ZOZO,JP3399310006,DI,,SRTTY
Zscaler Inc.,US98980G1022,DI,ZS,
ZTO Express (Cayman) Inc. (ADRs),US98980A1051,DI,ZTO,
